ID,LONGITUDE,LATITUDE,a,b,c,e,f,g
2266557,-71.92666,42.649614,544,548.2766667,55.9,0.102757353,0.01794099,0
2266558,-74,40.92,306.5666667,1058.2,121.7666667,0.397194737,0.034626963,0
2266559,-80.110418,26.348099,851,13490.31588,339.6976471,0.399174673,0.441437038,0
2266560,-80.181287,26.402975,1564,6990.188333,249.1377778,0.159295254,0.228736529,0
2266561,-82.29,27.92,850,2494.989444,288.2316667,0.339096078,0.081642325,0
2266562,-82.207936,28.386912,340,700.2355556,114.4216667,0.336534314,0.022913467,0
2266563,-82.63,28.3,1079.5,2241.69,242.9266667,0.225036282,0.07335373,0
2266564,-82.251412,27.871499,620.5,3016.102222,134.7811111,0.217213717,0.098694444,0
2266565,-73.567971,44.504814,255,532.4916667,29.53166667,0.115810458,0.017424466,0
2266566,-117.038702,34.89145,170,250.096,25.792,0.151717647,0.00818377,0
2266567,-96.781256,43.087409,340,280.2494444,27.78388889,0.08171732,0.009170466,0
2266568,-88.202168,41.888558,339.15,1225.345,194.87,0.574583518,0.040096368,0
2266569,-80.181382,25.957095,533.2333333,2792.856,227.4393333,0.426528724,0.091389267,0
2266570,-82.467035,27.933828,203.3388889,673.4016667,77.35,0.380399443,0.022035395,0
2266571,-82.45,28.05,603.5,2468.024167,235.1158333,0.389587131,0.080759953,0
2266572,-82.503393,28.00914,264.4444444,919.3922222,130.3033333,0.492743697,0.030084824,0
2266573,-83.405658,42.721637,395.25,1474.754286,185.3428571,0.468925635,0.048257666,0
2266574,-71.682847,42.418147,225.25,559.02,69.05166667,0.306555679,0.018292539,0
2266575,-121.445139,38.534694,870.3055556,2934.532944,239.5611111,0.275260924,0.096025293,0
2266576,-94.804314,39.789292,96.33333333,444.9316667,41.275,0.428460208,0.014559282,0
2266577,-82.493291,28.075875,595,2390.776667,127.0966667,0.213607843,0.078232221,0
2266578,-73.878268,42.796168,510,928.136,141.102,0.276670588,0.030370942,0
2266579,-78.326007,35.015143,255,582.4511,55.276,0.216768627,0.019059264,0
2266580,-102.719139,34.640298,142.8,315.6706667,27.144,0.190084034,0.010329538,0
2266581,-82.409188,28.069465,341.9266667,4246.124667,175.474,0.513191912,0.13894387,0
2266582,-78.601992,42.770138,348.5,964.7916667,109.6333333,0.314586322,0.031570408,0
2266583,-71.448233,43.007307,599.25,484.55,34.71,0.057922403,0.015855694,0
2266584,-90.44264,38.612479,197.9083333,968.2016667,117.2166667,0.59227757,0.031681992,0
2266585,-82.507897,27.92102,441.4333333,2627.111667,233.5955556,0.529175162,0.085965696,0
2266586,-98.313983,34.360526,161.5,390.8666667,44.37333333,0.274757482,0.01279014,0
2266587,-80.001053,32.903035,301.75,772.1083333,108.94,0.361027341,0.025265325,0
2266588,-82.72,27.75,323.6611111,1383.423861,159.8061111,0.493745172,0.045269105,0
2266589,-82.724285,27.789798,323,768.735,82.52833333,0.255505676,0.025154941,0
2266590,-82.626393,27.816957,576.0733333,1874.253333,297.362,0.516187754,0.061330279,0
2266591,-74.07,40.3,680,522.28,69.94,0.102852941,0.017090314,0
2266592,-81.939153,28.038134,271.7733333,807.928,136.24,0.501300103,0.026437435,0
2266593,-81.939153,28.038134,371.72625,1157.454375,186.89125,0.502765812,0.037874816,0
2266594,-99.311484,37.247915,314.5,149.38,21.97,0.069856916,0.004888089,0
2266595,-95.198193,29.678945,342.3611111,680.0688889,109.3372222,0.319362272,0.022253563,0
2266596,-81.92,27.95,520.9555556,2149.002778,265.3372222,0.509327944,0.070320772,0
2266597,-81.5,27.6,246.5755556,1247.314444,138.385,0.56122757,0.040815263,0
2266598,-95.534186,30.73435,131.41,540.3273333,70.05266667,0.533084748,0.017680868,0
2266599,-81.548805,27.903734,255,787.5205556,126.7427778,0.497030501,0.025769652,0
2266600,-81.807388,27.551742,417.4444444,1491.276111,164.8255556,0.394844291,0.048798302,0
2266601,-81.71,28.01,756.5,986.348,187.8413333,0.24830315,0.032275785,0
2266602,-81.71,28.02,216.1833333,827.4053333,105.5773333,0.488369439,0.027074782,0
2266603,-97.43468,27.753593,527,1121.083333,143.0072222,0.271360953,0.036684664,0
2266604,-81.8725,26.620403,652.6111111,3061.232778,447.2722222,0.685357964,0.10017123,0
2266605,-81.785341,26.676472,693.8172222,2029.675694,335.0677778,0.482933786,0.066416089,0
2266606,-95.317777,29.724179,511.0625,1063.57625,101.48125,0.198569157,0.034802888,0
2266607,-74.237955,40.410876,510,1228.956667,170.17,0.333666667,0.040214551,0
2266608,-104.066591,41.178799,171.7,160.347,9.802,0.057087944,0.005246957,0
2266609,-81.42,26.42,463.25,1057.863889,173.4488889,0.374417461,0.034615965,0
2266610,-95.461106,29.702313,572.9,4629.753333,344.4927778,0.601313978,0.151497164,0
2266611,-95.367481,29.793558,425,977.4233333,70.67666667,0.166298039,0.031983748,0
2266612,-95.648082,29.894115,697,1604.334286,252.5714286,0.362369338,0.05249785,0
2266613,-81.434027,26.732093,569.5,566.8544444,98.29444444,0.172597795,0.018548902,0
2266614,-95.662329,29.844022,595,1239.117647,109.7735294,0.184493327,0.040547043,0
2266615,-81.8,26.17,850,1800.156111,226.3444444,0.266287582,0.058905632,0
2266616,-95.221786,29.593978,680,911.6372222,149.8827778,0.22041585,0.029831061,0
2266617,-82.14,26.98,1020,1987.549667,158.4483333,0.155341503,0.06503762,0
2266618,-94.357127,37.840853,314.5,527.846,68.85666667,0.218940117,0.017272448,0
2266619,-82.03,26.92,340,1542.407778,167.4038889,0.492364379,0.050471459,0
2266620,-81.97,26.6,387.9777778,1602.932222,274.2277778,0.706813105,0.052451971,0
2266621,-81.733488,26.168593,527.9444444,1454.585,250.0766667,0.473679891,0.047597677,0
2266622,-82.584733,27.480896,741.11,9654.460588,443.7741176,0.598796559,0.315918213,0
2266623,-97.796676,30.422401,516.8,1382.942,205.972,0.398552632,0.045253338,0
2266624,-97.808129,30.285009,966.1666667,1789.315,320.06,0.331267897,0.058550884,0
2266625,-82.33,26.92,306,698.5733333,93.77333333,0.306448802,0.022859075,0
2266626,-74.11,40.36,515.6666667,1041.186667,180.4833333,0.35,0.034070244,0
2266627,-82.53,27.36,340,1000.150556,117.6572222,0.346050654,0.03272744,0
2266628,-96.872547,32.704638,855.5,1581.560588,158.5847059,0.185370784,0.051752637,0
2266629,-82.512778,27.336915,667.25,1572.254444,124.3305556,0.186332792,0.051448117,0
