ID,e,LATITUDE,LONGITUDE,z,o,w,q,c,f
346789,90704,33.3992475,-118.4356008,ZIP,,,,302,0.023553268
346791,92629,33.4751201,-117.7056751,ZIP,,,,1432,0.111683045
346792,92624,33.4514689,-117.6590564,ZIP,,,,470,0.036655748
346793,92677,33.5288675,-117.7011753,ZIP,,,,4266,0.332709406
346795,92672,33.42411,-117.6067751,ZIP,,,,2155,0.168070504
346797,92673,33.4673712,-117.6135092,ZIP,,,,2014,0.157073779
346798,92675,33.5018599,-117.6086463,ZIP,,,,2713,0.211589456
346799,92694,33.547238,-117.6237612,ZIP,,,,1080,0.084230229
346800,92055,33.3877228,-117.4447579,ZIP,,,,2921,0.227811574
346801,92107,32.7390553,-117.2454042,ZIP,,,,1441,0.112384963
346802,92118,32.6992345,-117.2096422,ZIP,,,,1387,0.108173452
346803,92135,32.697543,-117.192775,ZIP,,,,99,0.007721104
346804,92106,32.7108183,-117.2376128,ZIP,,,,991,0.077289034
346805,92147,32.7248803,-117.2199618,ZIP,,,,124,0.009670878
346806,92140,32.7394961,-117.1974012,ZIP,,,,1754,0.136796132
346807,92110,32.7652442,-117.2003912,ZIP,,,,2073,0.161675246
346809,92037,32.8563468,-117.2500579,ZIP,,,,6884,0.536889721
346810,92109,32.7867719,-117.2342066,ZIP,,,,1050,0.081890501
346811,92117,32.8245716,-117.1995183,ZIP,,,,2663,0.207689908
346813,92014,32.9631995,-117.2503091,ZIP,,,,649,0.050616129
346814,92075,32.9972485,-117.2605796,ZIP,,,,614,0.047886445
346815,92007,33.0232495,-117.2749228,ZIP,,,,475,0.037045703
346816,92130,32.9457908,-117.2143658,ZIP,,,,3450,0.269068788
346818,92121,32.8995918,-117.2012028,ZIP,,,,126,0.00982686
346819,92091,33.0159273,-117.243517,ZIP,,,,29,0.002261738
346820,92067,33.0209084,-117.1903457,ZIP,,,,753,0.058727188
346821,91932,32.5737546,-117.1208718,ZIP,,,,1926,0.150210576
346824,91911,32.6081848,-117.054512,ZIP,,,,7326,0.571361722
346825,92155,32.6749839,-117.1617258,ZIP,,,,68,0.005303385
346826,92113,32.6967163,-117.1178807,ZIP,,,,5621,0.438387147
346827,92101,32.7241028,-117.1709121,ZIP,,,,732,0.057089378
346829,92134,32.724223,-117.146587,ZIP,,,,23,0.001793792
346830,92103,32.7474154,-117.1668826,ZIP,,,,597,0.046560599
346831,92102,32.7162204,-117.1170571,ZIP,,,,3413,0.266183123
346832,92104,32.741501,-117.1279482,ZIP,,,,1956,0.152550304
346834,92116,32.7649708,-117.1231448,ZIP,,,,1093,0.085244112
346835,91950,32.6706465,-117.0946684,ZIP,,,,5226,0.407580721
346836,91910,32.6378681,-117.0580313,ZIP,,,,5961,0.464904071
346837,92139,32.6798883,-117.0488898,ZIP,,,,2718,0.21197941
346838,92105,32.7378272,-117.0926734,ZIP,,,,6375,0.497192326
346841,92114,32.7077564,-117.0550946,ZIP,,,,5914,0.461238496
346842,92115,32.764998,-117.0736415,ZIP,,,,6065,0.47301513
346844,92173,32.5530213,-117.0424535,ZIP,,,,3134,0.244423647
346845,92154,32.5570218,-117.0062142,ZIP,,,,6988,0.54500078
346846,91913,32.6194591,-116.9858204,ZIP,,,,3309,0.258072064
346847,91915,32.6231854,-116.9490527,ZIP,,,,2064,0.160973327
346848,91902,32.6657619,-117.0186567,ZIP,,,,1293,0.100842302
346849,91945,32.7331682,-117.0341758,ZIP,,,,2049,0.159803463
346851,91977,32.7262367,-116.9943176,ZIP,,,,4835,0.377086258
346852,91941,32.7593329,-116.9972468,ZIP,,,,1943,0.151536422
346853,91914,32.674004,-116.9439325,ZIP,,,,1277,0.099594447
346854,91978,32.7241538,-116.9400932,ZIP,,,,680,0.053033848
346855,92111,32.8064758,-117.1688793,ZIP,,,,2782,0.216970831
346856,92108,32.7740459,-117.1424539,ZIP,,,,491,0.038293558
346858,92123,32.8067941,-117.1349303,ZIP,,,,1598,0.124629543
346859,92122,32.8617267,-117.1712242,ZIP,,,,1415,0.110357199
346860,92124,32.8237656,-117.0923783,ZIP,,,,1692,0.131960693
346861,92120,32.7947142,-117.0717637,ZIP,,,,1309,0.102090158
346862,92131,32.8860698,-117.0859818,ZIP,,,,2113,0.164794884
346863,92126,32.9084494,-117.1413795,ZIP,,,,4702,0.366713461
346864,92129,32.9669202,-117.1261575,ZIP,,,,3987,0.31094993
346866,92127,33.0118331,-117.1326864,ZIP,,,,2372,0.184994541
346867,92128,32.9998185,-117.071808,ZIP,,,,2398,0.187022305
346869,91942,32.7779992,-117.0215107,ZIP,,,,1997,0.155747933
346870,92119,32.8178882,-117.0319557,ZIP,,,,1314,0.102480112
346871,92071,32.8523576,-116.987842,ZIP,,,,3835,0.299095305
346872,92020,32.7955081,-116.9697468,ZIP,,,,4245,0.331071596
346875,92145,32.9305536,-117.008063,ZIP,,,,96,0.007487131
346876,92064,32.9836059,-117.0190351,ZIP,,,,3943,0.307518328
346877,92008,33.1472939,-117.3221811,ZIP,,,,1745,0.136094213
346879,92054,33.1955344,-117.3545383,ZIP,,,,2599,0.202698487
346881,92024,33.0560222,-117.2598998,ZIP,,,,2760,0.21525503
346882,92011,33.1075819,-117.2921819,ZIP,,,,1272,0.099204492
346883,92010,33.1585001,-117.2771634,ZIP,,,,909,0.070893776
346884,92009,33.0954702,-117.2438824,ZIP,,,,2462,0.192013726
346885,92078,33.1171539,-117.180627,ZIP,,,,2806,0.218842614
346886,92056,33.2012417,-117.2969842,ZIP,,,,3531,0.275386055
346888,92083,33.1978399,-117.2482029,ZIP,,,,3130,0.244111683
346890,92057,33.2546187,-117.2833409,ZIP,,,,4145,0.3232725
346891,92081,33.1643744,-117.2402703,ZIP,,,,1780,0.138823896
346892,92084,33.2199347,-117.202606,ZIP,,,,3664,0.285758852
346893,92003,33.2852743,-117.1977769,ZIP,,,,293,0.022851349
346894,92058,33.3434378,-117.31725,ZIP,,,,2803,0.218608641
346895,92562,33.5476134,-117.3440401,ZIP,,,,5900,0.460146623
346896,92028,33.3904774,-117.209427,ZIP,,,,3574,0.278739666
346897,92590,33.4828114,-117.2261261,ZIP,,,,303,0.023631259
346898,92029,33.0824002,-117.1276407,ZIP,,,,1049,0.08181251
346900,92025,33.1020048,-117.0804192,ZIP,,,,3993,0.311417876
346902,92069,33.1707753,-117.1586765,ZIP,,,,4018,0.313367649
346903,92026,33.2124439,-117.116098,ZIP,,,,3564,0.277959757
346904,92027,33.1311558,-116.9769969,ZIP,,,,4418,0.344564031
346905,92082,33.2535477,-117.0033659,ZIP,,,,1593,0.124239588
346906,92059,33.3764674,-117.0661214,ZIP,,,,156,0.012166589
346909,92591,33.5352773,-117.1047908,ZIP,,,,3181,0.248089222
346910,92061,33.2985039,-116.9247828,ZIP,,,,166,0.012946498
346911,92592,33.5112281,-117.0423964,ZIP,,,,6537,0.50982686
346912,91935,32.7219185,-116.7882043,ZIP,,,,732,0.057089378
346913,91917,32.6088648,-116.7196605,ZIP,,,,71,0.005537358
346914,92019,32.776012,-116.880634,ZIP,,,,3326,0.25939791
346915,92021,32.838798,-116.8699555,ZIP,,,,5029,0.392216503
346916,92040,32.908915,-116.8919751,ZIP,,,,2987,0.232958977
346918,91901,32.8085625,-116.7100758,ZIP,,,,1444,0.112618936
346919,91980,32.5888657,-116.6191721,ZIP,,,,16,0.001247855
346920,91963,32.6262309,-116.6100196,ZIP,,,,98,0.007643113
346921,91906,32.6548209,-116.4655414,ZIP,,,,329,0.025659024
346922,91962,32.7351238,-116.4151605,ZIP,,,,104,0.008111059
346923,91916,32.8879886,-116.621354,ZIP,,,,122,0.009514896
346924,91931,32.8463626,-116.5577292,ZIP,,,,36,0.002807674
346925,92036,33.0224737,-116.493688,ZIP,,,,154,0.012010607
